,SCAF1355_6,SCAF1356_16,SCAF1357_6PDC,SCAF1358_16PDC
CCNL2,0.216136195410807,0.167175905718027,0.346581875993641,0.265074626865672
MRPL20,0.521095484826055,0.475338280226975,0.761526232114467,0.812537313432836
AL391244.3,0.00444115470022206,0.00218245307725884,0.00794912559618442,0.00656716417910448
ANKRD65,0.172464840858623,0.181143605412484,0.174880763116057,0.277611940298507
AL391244.2,0.0177646188008882,0.00218245307725884,0.014308426073132,0.00895522388059702
LINC01770,0.00444115470022206,0.00218245307725884,0,0.00716417910447761
VWA1,0.0555144337527757,0.0292448712352684,0.0715421303656598,0.117611940298507
ATAD3C,0.0525536639526277,0.0419030990833697,0.0715421303656598,0.0441791044776119
ATAD3B,0.0481125092524056,0.0266259275425578,0.0731319554848967,0.0453731343283582
ATAD3A,0.0703182827535159,0.0205150589262331,0.082670906200318,0.0549253731343284
TMEM240,0.0133234641006662,0.00742034046268005,0.0222575516693164,0.0185074626865672
SSU72,0.646928201332346,0.389786119598429,0.899841017488076,1.04179104477612
AL645728.1,0.00518134715025907,0.00480139676996945,0.0095389507154213,0.00477611940298507
