,met1,met2
AL139246.5,0.127777777777778,0.0579929399899143
TNFRSF14-AS1,0.0257575757575758,0.0549672213817448
TNFRSF14,0.16010101010101,0.184064548663641
AL139246.3,0.00757575757575758,0.00529500756429652
FAM213B,0.0878787878787879,0.078416540595058
MMEL1,0.0161616161616162,0.0388300554715078
PRDM16,0.0383838383838384,0.0463943519919314
ARHGEF16,0.0303030303030303,0.0289964699949571
MEGF6,0.00454545454545455,0.0121028744326778
TPRG1L,0.0777777777777778,0.0627836611195159
WRAP73,0.192424242424242,0.166414523449319
TP73,0.116666666666667,0.13363590519415
AL136528.1,0.046969696969697,0.0403429147755925
SMIM1,0.0575757575757576,0.13262733232476
LRRC47,0.214141414141414,0.147251638930913
CEP104,0.15,0.104891578416541
DFFB,0.0464646464646465,0.0274836106908724
C1orf174,0.130808080808081,0.12178517397882
LINC01134,0.0247474747474747,0.024457892082703
LINC01346,0.114141414141414,0.13363590519415
LINC01345,0.0227272727272727,0.00327786182551689
AL805961.2,0.00505050505050505,0.00327786182551689
AJAP1,0.0323232323232323,0.0224407463439233
AL691497.1,0.0126262626262626,0.00226928895612708
NPHP4,0.0651515151515152,0.0501765002521432
KCNAB2,0.104040404040404,0.110186585980837
RPL22,10.6308080808081,8.92385274836107
AL031847.1,0.0171717171717172,0.0151285930408472
RNF207,0.0196969696969697,0.0214321734745335
ICMT,0.128282828282828,0.113464447806354
GPR153,0.0555555555555556,0.0751386787695411
ACOT7,0.220707070707071,0.116994452849218
AL031848.2,0.0101010101010101,0.00453857791225416
ESPN,0.248989898989899,0.29500756429652
TNFRSF25,0.101515151515152,0.0852244074634392
PLEKHG5,0.102020202020202,0.0514372163388805
NOL9,0.0929292929292929,0.0554715078164397
ZBTB48,0.0702020202020202,0.0640443772062532
KLHL21,0.0818181818181818,0.0658093797276853
PHF13,0.0696969696969697,0.0695915279878971
THAP3,0.116666666666667,0.12077660110943
DNAJC11,0.0974747474747475,0.0751386787695411
CAMTA1-DT,0.00353535353535354,0
CAMTA1,0.725252525252525,0.765506807866868
AL365194.1,0.114646464646465,0.0418557740796773
VAMP3,0.112121212121212,0.122541603630862
PER3,0.0202020202020202,0.0138678769541099
PARK7,2.36060606060606,1.31593545133636
ERRFI1,0.0666666666666667,0.174735249621785
AL034417.2,0.0186868686868687,0.00655572365103379
LINC01714,0.00303030303030303,0.00100857286938981
SLC45A1,0.0237373737373737,0.00907715582450832
RERE,0.363636363636364,0.236510337871911
ENO1,3.07424242424242,2.70751386787695
